695703 | 03AQ02 Mar 22 03:38:12 03 | L05 Pre-W3 66  | 14:08:43.7  53:35:30 2000 |  180 | r | 1.23 | 0.77 0.88  1431 |P 2 V Q|
695704 | 03AQ02 Mar 22 03:43:52 03 | L05 Pre-W3 67  | 14:08:37.9  54:02:30 2000 |  180 | r | 1.25 | 0.87 0.96  1453 |P 2 V Q|
695705 | 03AQ02 Mar 22 03:48:10 03 | L05 Pre-W3 68  | 14:08:32.0  54:30:30 2000 |  180 | r | 1.26 | 0.87 0.96  1474 |P 2 V Q|
695706 | 03AQ02 Mar 22 03:52:28 03 | L05 Pre-W3 69  | 14:08:26.0  54:58:30 2000 |  180 | r | 1.27 | 1.05 1.14  1485 |P 2 V Q|
695707 | 03AQ02 Mar 22 03:56:45 03 | L05 Pre-W3 70  | 14:08:19.8  55:26:30 2000 |  180 | r | 1.28 | 0.87 0.93  1492 |P 1 V Q|
695708 | 03AQ02 Mar 22 03:58:07 03 | L05 Pre-W3 71  | 14:08:13.4  55:54:30 2000 |    5 | r | 1.30 | 1.00 1.05    55 |P 4 O D|
695818 | 03AQ02 Mar 22 21:17:17 03 | L05 Pre-W2 10  |  8:40:39.8  -3:18:25 2000 |  180 | r | 1.09 | 0.79 0.88   598 |P 1 V Q|
695819 | 03AQ02 Mar 22 21:21:33 03 | L05 Pre-W2 11  |  8:40:39.8  -2:51:00 2000 |  180 | r | 1.09 | 0.81 0.89   603 |P 1 V Q|
695820 | 03AQ02 Mar 22 21:25:49 03 | L05 Pre-W2 12  |  8:40:39.8  -2:23:00 2000 |  180 | r | 1.08 | 0.88 0.96   613 |P 1 V Q|
695821 | 03AQ02 Mar 22 21:30:04 03 | L05 Pre-W2 13  |  8:40:39.8  -1:55:00 2000 |  180 | r | 1.08 | 0.86 0.94   612 |P 1 V Q|
695822 | 03AQ02 Mar 22 21:34:19 03 | L05 Pre-W2 14  |  8:40:39.8  -1:27:00 2000 |  180 | r | 1.08 | 0.94 1.02   611 |P 2 V Q|
695823 | 03AQ02 Mar 22 21:38:42 03 | L05 Pre-W2 15  |  8:40:39.8   0:58:59 2000 |  180 | r | 1.07 | 0.89 0.97   602 |P 1 V Q|
695825 | 03AQ02 Mar 22 21:50:48 03 | L05 Pre-W2 16  |  8:42:34.1  -7:30:59 2000 |  180 | r | 1.15 | 1.03 1.09   627 |P 2 O D|
695826 | 03AQ02 Mar 22 21:55:05 03 | L05 Pre-W2 17  |  8:42:34.1  -7:03:00 2000 |  180 | r | 1.15 | 0.92 1.00   615 |P 2 V Q|
695827 | 03AQ02 Mar 22 21:59:21 03 | L05 Pre-W2 18  |  8:42:34.1  -6:35:00 2000 |  180 | r | 1.15 | 0.81 0.90   600 |P 1 V Q|
695828 | 03AQ02 Mar 22 22:03:38 03 | L05 Pre-W2 19  |  8:42:34.1  -6:07:00 2000 |  180 | r | 1.15 | 0.88 0.97   591 |P 1 V Q|
696351 | 03AQ02 Mar 27 04:24:04 03 | L05 Pre-W3 71  | 14:08:13.4  55:54:31 2000 |  180 | r | 1.38 | 1.10 1.14   556 |A 2 O D|
696352 | 03AQ02 Mar 27 04:28:19 03 | L05 Pre-W3 72  | 14:08:06.8  56:22:30 2000 |  180 | r | 1.39 | 1.12 1.16   566 |A 2 O D|
696353 | 03AQ02 Mar 27 04:32:35 03 | L05 Pre-W3 73  | 14:08:00.0  56:50:30 2000 |  180 | r | 1.41 | 1.06 1.08   577 |A 2 O D|
696355 | 03AQ02 Mar 27 04:44:18 03 | L05 Pre-W3 74  | 14:07:53.1  57:18:30 2000 |  180 | r | 1.45 | 0.94 1.01   726 |A 2 O D|
696356 | 03AQ02 Mar 27 04:48:34 03 | L05 Pre-W3 75  | 14:07:45.9  57:46:30 2000 |  180 | r | 1.47 | 1.10 1.03   724 |A 2 O Q|
696357 | 03AQ02 Mar 27 04:53:38 03 | L05 Pre-W3 76  | 14:12:04.7  51:14:31 2000 |  180 | r | 1.38 | 1.03 1.09   698 |A 2 O D|
696358 | 03AQ02 Mar 27 04:55:10 03 | L05 Pre-W3 77  | 14:12:01.4  51:42:30 2000 |   15 | r | 1.40 | 0.81 0.86    63 |A 4 O D|
696359 | 03AQ02 Mar 27 04:59:12 03 | L05 Pre-W3 77  | 14:12:01.4  51:42:31 2000 |  180 | r | 1.40 | 1.03 1.08   729 |A 2 O D|
696360 | 03AQ02 Mar 27 05:04:47 03 | L05 Pre-W3 78  | 14:11:57.9  52:10:30 2000 |  180 | r | 1.43 | 1.12 1.17   786 |A 2 O D|
699973 | 03AQ03 Apr 26 02:05:39 03 | L05 Pre-W3 75  | 14:07:45.9  57:46:30 2000 |  180 | r | 1.36 | 0.96 1.06   570 |P 3 V Q|
699974 | 03AQ03 Apr 26 02:10:09 03 | L05 Pre-W3 74  | 14:07:53.1  57:18:31 2000 |  180 | r | 1.36 | 1.15 1.22   566 |P 4 O D|
699975 | 03AQ03 Apr 26 02:14:27 03 | L05 Pre-W3 74  | 14:07:53.1  57:18:30 2000 |  180 | r | 1.37 | 1.10 1.19   581 |P 3 O D|
699977 | 03AQ03 Apr 26 02:28:37 03 | L05 Pre-W3 74  | 14:07:53.1  57:18:30 2000 |  180 | r | 1.41 | 1.17 1.25   583 |P 3 O D|
699978 | 03AQ03 Apr 26 02:33:01 03 | L05 Pre-W3 73  | 14:08:00.0  56:50:31 2000 |  180 | r | 1.41 | 1.38 1.44   572 |P 3 O D|
699983 | 03AQ03 Apr 26 03:01:06 03 | L05 Pre-W3 74  | 14:07:53.1  57:18:30 2000 |  180 | r | 1.50 | 1.31 1.37   642 |P 4 O D|
700132 | 03AQ03 Apr 27 00:09:59 03 | L05 Pre-W3 74  | 14:07:53.1  57:18:31 2000 |  180 | r | 1.26 | 0.81 0.91   709 |A 4 O D|
700133 | 03AQ03 Apr 27 00:14:22 03 | L05 Pre-W3 73  | 14:08:00.0  56:50:31 2000 |  180 | r | 1.25 | 0.82 0.91   709 |A 4 O D|
700134 | 03AQ03 Apr 27 00:18:47 03 | L05 Pre-W3 72  | 14:08:06.8  56:22:31 2000 |  180 | r | 1.25 | 0.80 0.89   744 |A 4 O D|
700135 | 03AQ03 Apr 27 00:23:11 03 | L05 Pre-W3 71  | 14:08:13.4  55:54:31 2000 |  180 | r | 1.24 | 0.83 0.91   771 |A 4 O D|
700136 | 03AQ03 Apr 27 00:27:41 03 | L05 Pre-W3 90  | 14:11:08.6  57:46:30 2000 |  180 | r | 1.27 | 0.87 0.95   750 |A 4 O D|
700137 | 03AQ03 Apr 27 00:32:05 03 | L05 Pre-W3 89  | 14:11:13.4  57:18:31 2000 |  180 | r | 1.26 | 0.87 0.96   750 |A 4 O D|
700138 | 03AQ03 Apr 27 00:36:29 03 | L05 Pre-W3 88  | 14:11:18.0  56:50:31 2000 |  180 | r | 1.25 | 0.90 0.98   710 |A 2 V Q|
700139 | 03AQ03 Apr 27 00:41:02 03 | L05 Pre-W3 87  | 14:11:22.5  56:22:31 2000 |  180 | r | 1.25 | 0.90 0.99   723 |A 2 V Q|
700140 | 03AQ03 Apr 27 00:45:27 03 | L05 Pre-W3 86  | 14:11:26.9  55:54:31 2000 |  180 | r | 1.24 | 0.86 0.93   717 |A 2 V Q|
700141 | 03AQ03 Apr 27 00:49:51 03 | L05 Pre-W3 85  | 14:11:31.2  55:26:31 2000 |  180 | r | 1.24 | 0.95 1.02   732 |A 3 V Q|
700142 | 03AQ03 Apr 27 00:54:16 03 | L05 Pre-W3 84  | 14:11:35.3  54:58:31 2000 |  180 | r | 1.23 | 1.00 1.06   723 |A 3 V Q|
700143 | 03AQ03 Apr 27 00:58:41 03 | L05 Pre-W3 83  | 14:11:39.4  54:30:31 2000 |  180 | r | 1.23 | 0.89 0.97   721 |A 2 V Q|
700144 | 03AQ03 Apr 27 01:03:05 03 | L05 Pre-W3 82  | 14:11:43.3  54:02:31 2000 |  180 | r | 1.23 | 0.94 1.01   730 |A 3 V Q|
700145 | 03AQ03 Apr 27 01:07:29 03 | L05 Pre-W3 81  | 14:11:47.1  53:34:31 2000 |  180 | r | 1.22 | 1.01 1.07   751 |A 4 O D|
